key	en	it	es	fr	de	ja	ko	zh-Hans	pt-BR
ui.main.play	Play	Gioca	Jugar	Jouer	Spielen	プレイ	플레이	开始	Play
ui.main.new_game	New Game	Nuova Partita	Nueva Partida	Nouvelle Partie	Neues Spiel	新しいゲーム	새 게임	新游戏	Novo Jogo
ui.main.continue	Continue	Continua	Continuar	Continuer	Fortsetzen	続ける	계속하기	继续	Continuar
ui.main.load_game	Load Game	Carica Partita	Cargar Partida	Charger Partie	Spiel laden	ゲームをロード	게임 불러오기	读取存档	Carregar Jogo
ui.main.options	Options	Opzioni	Opciones	Options	Optionen	オプション	옵션	选项	Opções
ui.main.settings	Settings	Impostazioni	Ajustes	Paramètres	Einstellungen	設定	설정	设置	Configurações
ui.main.credits	Credits	Crediti	Créditos	Crédits	Kredite	クレジット	크레딧	制作人员	Créditos
ui.main.exit	Exit	Esci	Salir	Quitter	Beenden	終了	종료	退出	Sair
ui.main.privacy	Privacy Policy	Privacy	Privacidad	Confidentialité	Datenschutz	プライバシーポリシー	개인정보 보호정책	隐私政策	Política de Privacidade
ui.main.support	Support	Supporto	Soporte	Support	Aus Support	サポート	고객지원	客服	Atendimento
ui.main.news	News	Notizie	Noticias	Nouvelles	Nachrichten	ニュース	뉴스	新闻	Notícias

ui.btn.ok	OK	OK	OK	OK	OK	OK	확인	确定	OK
ui.btn.cancel	Cancel	Annulla	Cancelar	Annuler	Abbrechen	キャンセル	취소	取消	Cancelar
ui.btn.yes	Yes	Sì	Sí	Oui	Ja	はい	예	是	Sim
ui.btn.no	No	No	No	Non	Nein	いいえ	아니요	否	Não
ui.btn.close	Close	Chiudi	Cerrar	Fermer	Schließen	閉じる	닫기	关闭	Fechar
ui.btn.back	Back	Indietro	Atrás	Retour	Zurück	戻る	뒤로가기	返回	Voltar
ui.btn.continue	Continue	Continua	Continuar	Continuer	Fortsetzen	続ける	계속	继续	Continuar
ui.btn.confirm	Confirm	Conferma	Confirmar	Confirmer	Bestätigen	確認	확인	确认	Confirmar
ui.btn.retry	Retry	Riprova	Reintentar	Recommencer	Erneut versuchen	再挑戦	재시도	重试	Tentar Novamente
ui.btn.next	Next	Avanti	Siguiente	Suivant	Weiter	次へ	다음	下一步	Próximo
ui.btn.prev	Previous	Precedente	Anterior	Précédent	Vorherige	前へ	이전	上一步	Anterior
ui.btn.skip	Skip	Salta	Omitir	Passer	Überspringen	スキップ	건너뛰기	跳过	Pular

ui.loading.loading	Loading...	Caricamento...	Cargando...	Chargement...	Lädt...	読み込み中…	로딩중…	加载中…	Carregando…
ui.loading.syncing	Syncing...	Sincronizzazione...	Sincronizando...	Synchronisation...	Synchronisiert…	同期中…	동기화중…	同步中…	Sincronizando…
ui.loading.connecting	Connecting...	Connessione...	Conectando...	Connexion...	Verbinden…	接続中…	연결중…	连接中…	Conectando…
ui.loading.downloading	Downloading...	Download...	Descargando...	Téléchargement...	Wird heruntergeladen…	ダウンロード中…	다운로드중…	下载中…	Baixando…
ui.loading.initializing	Initializing...	Inizializzazione...	Inicializando...	Initialisation...	Initialisierung…	初期化中…	초기화중…	初始化中…	Inicializando…
ui.loading.wait	Please wait...	Attendere...	Por favor espera...	Veuillez patienter...	Bitte warten...	お待ちください…	잠시만 기다려주세요…	请稍候…	Aguarde...

ui.opt.title	Options	Opzioni	Opciones	Options	Optionen	オプション	옵션	选项	Opções
ui.opt.audio	Audio	Audio	Audio	Audio	Audio	オーディオ	오디오	音频	Áudio
ui.opt.music	Music Volume	Volume Musica	Volumen Música	Volume Musique	Musiklautstärke	音楽音量	BGM 음량	音乐音量	Volume da Música
ui.opt.sfx	SFX Volume	Volume Effetti	Volumen SFX	Volume Effets	SFX-Lautstärke	効果音音量	SFX 음량	音效音量	Volume de Efeitos
ui.opt.mute_music	Mute Music	Muta Musica	Silenciar Música	Mute Musique	Musik stummschalten	音楽ミュート	음악 음소거	静音音乐	Silenciar Música
